cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,name,nameH,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
4292,0.605619,17.292433,190.66,14.36,VFID4291,NGC4633,HPESL100A_J124237.3+142127,green,190.655656,14.357397,0.000146,0.000141,524.126,13.102,null,92.493,19.697,null,0,f,1342258504
4294,26.279967,168.082106,187.97,14.31,VFID4293,PGC041515,HPESL100A_J123154.2+141758,green,187.975964,14.299332,0.000446,0.000431,139.808,5.16,4.645,92.169,40.736,null,0,f,1342187265
4312,2.827075,31.835056,194.86,14.17,VFID4311,NGC4866,HPESL100A_J125927.1+141018,green,194.863138,14.171662,0.000141,0.000137,363.196,12.023,8.31,76.946,16.631,7.67,0.461168,f,1342258591
4322,1.012246,150.550714,180.29,14.10,VFID4321,IC0755,HPESL160A_J120110.5+140614,red,180.293775,14.103787,0.000111,0.000108,1011.844,20.811,22.767,87.508,29.911,12.034,0.402315,f,1342257467
4331,3.565354,143.477324,188.17,14.05,VFID4330,IC3476,HPESL160A_J123242.0+140259,red,188.174999,14.049721,0.000486,0.000472,1570.091,11.456,11.787,176.003,29.955,null,0,f,1342187265
4335,0.978589,83.98377,183.77,14.03,VFID4334,IC3061,HPESL070A_J121504.5+140144,blue,183.768895,14.028915,0.000088,0.000086,351.062,15,null,86.22,26.529,7.453,0.280933,f,1342233018
4344,2.632753,167.22614,183.20,13.98,VFID4343,IC3044,HPESL160A_J121248.4+135831,red,183.202034,13.975371,0.000634,0.000615,207.891,9.478,11.304,36.484,27.9,19.536,0.700225,f,1342198147
4354,23.260479,58.332719,183.91,13.90,VFID4353,NGC4212,HPESL070A_J121540.6+135418,blue,183.919542,13.904967,0.00007,0.000068,1192.146,3.034,null,491.965,12.737,8.11,0.636738,f,1342233020
4383,0.867225,2.776233,191.94,13.76,VFID4382,NGC4689,HPESL160A_J124745.5+134546,red,191.939933,13.762874,0.000152,0.000148,2460.053,20.871,5.38,212.437,29.963,null,0,f,1342258446
4388,0.547936,99.454633,160.53,13.75,VFID4387,NGC3338,HPESL160A_J104207.5+134449,red,160.531572,13.746964,0.000176,0.000171,1737.243,14.753,3.075,188.77,30.095,24.516,0.814627,f,1342255310
4415,37.663692,108.883991,170.07,13.59,VFID4414,NGC3628,HPESL100A_J112019.4+133510,green,170.080938,13.586241,0.000006,0.000006,22082.434,4.897,null,9670.498,25.328,16.793,0.66302,f,1342256147
4446,27.843594,163.710207,183.45,13.42,VFID4445,NGC4189,HPESL100A_J121347.8+132503,green,183.449295,13.41754,0.000091,0.000089,1338.03,11.531,4.44,368.489,45.976,null,0,f,1342198147
4451,33.091387,9.208275,180.35,13.40,VFID4450,NGC4037,HPESL160A_J120124.0+132436,red,180.350175,13.410093,0.000458,0.000446,299.006,3.562,2.868,132.906,25.075,10.623,0.423672,f,1342257465
4454,0.491504,-174.327431,189.77,13.36,VFID4453,IC3611,HPESL100A_J123904.1+132148,green,189.767185,13.363258,0.000271,0.000263,137.651,6.978,10,74.021,14.657,null,0,f,1342258502
4465,16.485464,-124.425592,184.09,13.31,VFID4464,NGC4222,HPESL100A_J121621.7+131817,green,184.090577,13.304694,0.000049,0.000048,1110.79,19.342,20.117,226.502,48.749,12.422,0.254821,f,1342198147
4473,10.248956,146.184952,189.18,13.26,VFID4472,IC3583,HPESL160A_J123644.0+131523,red,189.183491,13.2565,0.000043,0.000042,883.287,18.121,14.159,74.339,35.231,17.315,0.491458,t,1342212668
4474,23.960394,168.370368,190.72,13.26,VFID4473,NGC4639,HPESL160A_J124252.7+131503,red,190.719715,13.250722,0.000222,0.000216,1260.226,10.621,4.787,193.538,33.827,null,0,f,1342258450
4479,21.964759,-79.61143,187.24,13.24,VFID4478,NGC4458,HPESL100A_J122856.0+131435,green,187.233672,13.243003,0.000412,0.000401,163.463,5.856,5.756,108.604,39.818,18.743,0.470726,f,1342187265
4480,4.236473,-19.780505,193.68,13.24,VFID4479,UGC08032,HPESL100A_J125444.0+131418,green,193.683692,13.238297,0.000069,0.000067,612.985,19.756,8.511,78.683,20.99,7.412,0.35312,f,1342258589
4494,27.653454,54.857073,187.26,13.18,VFID4493,NGC4461,HPESL100A_J122904.5+131118,green,187.268953,13.188257,0.000463,0.000451,14.455,3.896,1.965,36.927,49.669,17.32,0.348699,f,1342199776
4497,0.495715,100.594156,183.47,13.17,VFID4496,NGC4193,HPESL160A_J121353.6+131022,red,183.473449,13.172807,0.000062,0.000061,2379.812,23.369,11.69,125.507,28.03,17.524,0.625206,f,1342198147
4505,0.820398,166.601505,183.98,13.15,VFID4504,NGC4216,HPESL160A_J121554.3+130857,red,183.976338,13.149132,0.000113,0.00011,2002.896,9.809,3.02,208.333,39.606,17.496,0.441739,f,1342198147
4508,0.797312,83.456962,190.99,13.13,VFID4507,NGC4654,HPESL160A_J124356.6+130736,red,190.98611,13.126542,0.00003,0.00003,5896.101,22.65,5.439,693.734,24.882,11.63,0.467386,f,1342258448
4511,2.275296,-155.817914,186.53,13.11,VFID4510,NGC4402,HPESL160A_J122607.5+130645,red,186.531357,13.112554,0.000017,0.000017,9779.217,22.593,11.325,1134.91,34.629,13.471,0.38901,f,1342233036
4524,1.625765,161.063406,188.57,13.08,VFID4523,NGC4531,HPESL160A_J123415.9+130430,red,188.566341,13.07496,0.000454,0.000442,1556.393,17.913,15.887,110.484,50.812,null,0,f,1342199776
4525,36.702899,-89.097956,186.34,13.07,VFID4524,PGC040505,HPESL100A_J122519.0+130415,green,186.329352,13.070862,0.000366,0.000356,97.147,9.623,4.064,43.301,25.54,13.272,0.519657,f,1342199776
4531,21.542885,103.940397,187.24,13.04,VFID4530,[KHL2017]UCD34,HPESL100A_J122858.3+130215,green,187.243007,13.037581,0.000431,0.000419,21.398,4.693,3.228,41.124,38.065,null,0,f,1342199776
4539,0.522171,23.147688,183.82,13.02,VFID4538,NGC4206,HPESL160A_J121516.8+130127,red,183.820166,13.024048,0.000143,0.000139,1357.091,17.708,7.196,98.426,27.528,null,0,f,1342198147
4546,13.624283,-98.769491,186.07,13.01,VFID4545,[KHL2017]UCD02,HPESL100A_J122415.7+130027,green,186.065512,13.007484,0.000413,0.000403,-4.996,3.025,2.267,28.781,33.674,null,0,f,1342198147
4576,38.698563,49.516246,187.03,12.90,VFID4575,PGC040958,HPESL160A_J122808.5+125418,red,187.035591,12.905095,0.000576,0.00056,67.226,3.675,2.409,24.682,42.157,9.291,0.220385,f,1342199776
4587,39.471087,134.199399,186.76,12.87,VFID4586,null,HPESL100A_J122704.3+125140,green,186.767923,12.860978,0.000458,0.000446,61.001,5.702,3.687,37.607,34.253,null,0,f,1342199776
4588,21.719701,159.605305,186.77,12.87,VFID4587,PGC040787,HPESL100A_J122704.3+125140,green,186.767923,12.860978,0.000458,0.000446,61.001,5.702,3.687,37.607,34.253,null,0,f,1342199776
4598,31.577142,-95.703628,187.12,12.82,VFID4597,IC3388,HPESL100A_J122825.9+124922,green,187.107968,12.822791,0.000486,0.000476,113.808,6.996,4.521,55.558,35.38,null,0,f,1342198147
